7903a9e8-32e9-4b2a-884e-d4959f8edf02	$10	1	2
41cee525-b24c-4d1d-af1e-76dadb1c0f63	$10	1	2
7903a9e8-32e9-4b2a-884e-d4959f8edf02	$10	1	3
41cee525-b24c-4d1d-af1e-76dadb1c0f63	$10	1	3
9e79d83b-b7f0-4027-a9e1-a9f7a5235bba	$10	2	3
9da16f56-70f0-4494-a42d-10f558b2d7b7	$10	2	3
7903a9e8-32e9-4b2a-884e-d4959f8edf02	$10	1	4
41cee525-b24c-4d1d-af1e-76dadb1c0f63	$10	1	4
9e79d83b-b7f0-4027-a9e1-a9f7a5235bba	$10	2	4
9da16f56-70f0-4494-a42d-10f558b2d7b7	$10	2	4
0f314f01-84dc-4c0d-ab4a-acd916003122	$10	3	4
1e4753e7-0346-4cd7-b811-2b1676fc16dc	$10	3	4
7903a9e8-32e9-4b2a-884e-d4959f8edf02	$10	1	5
41cee525-b24c-4d1d-af1e-76dadb1c0f63	$10	1	5
9e79d83b-b7f0-4027-a9e1-a9f7a5235bba	$10	2	5
0f314f01-84dc-4c0d-ab4a-acd916003122	$10	3	5
1e4753e7-0346-4cd7-b811-2b1676fc16dc	$10	3	5
ea925229-48ef-4be0-b6f4-b522c8a2eeec	$10	4	5
33396a11-eb73-45da-884c-626a5c82a350	$10	4	5
7903a9e8-32e9-4b2a-884e-d4959f8edf02	$10	1	6
41cee525-b24c-4d1d-af1e-76dadb1c0f63	$10	1	6
9e79d83b-b7f0-4027-a9e1-a9f7a5235bba	$10	2	6
0f314f01-84dc-4c0d-ab4a-acd916003122	$10	3	6
1e4753e7-0346-4cd7-b811-2b1676fc16dc	$10	3	6
ea925229-48ef-4be0-b6f4-b522c8a2eeec	$10	4	6
33396a11-eb73-45da-884c-626a5c82a350	$10	4	6
369f0fac-5d1b-4833-9475-f48d3b376ce2	$10	5	6
c6a508fd-4109-40b6-b582-2f51cb95580c	$10	5	6
feaebed7-c72a-4a14-9e77-c757dabee7de	$10	5	6
7903a9e8-32e9-4b2a-884e-d4959f8edf02	$10	1	7
41cee525-b24c-4d1d-af1e-76dadb1c0f63	$10	1	7
9e79d83b-b7f0-4027-a9e1-a9f7a5235bba	$10	2	7
0f314f01-84dc-4c0d-ab4a-acd916003122	$20	3	7
1e4753e7-0346-4cd7-b811-2b1676fc16dc	$20	3	7
ea925229-48ef-4be0-b6f4-b522c8a2eeec	$10	4	7
33396a11-eb73-45da-884c-626a5c82a350	$10	4	7
369f0fac-5d1b-4833-9475-f48d3b376ce2	$20	5	7
c6a508fd-4109-40b6-b582-2f51cb95580c	$10	5	7
feaebed7-c72a-4a14-9e77-c757dabee7de	$10	5	7
753a083f-201b-4097-95ed-99028eab1ce9	$10	6	7
f85718d8-ab94-4c35-b297-69277c341011	$10	6	7
7903a9e8-32e9-4b2a-884e-d4959f8edf02	$10	1	8
41cee525-b24c-4d1d-af1e-76dadb1c0f63	$10	1	8
9e79d83b-b7f0-4027-a9e1-a9f7a5235bba	$10	2	8
